门+剧,138/168,120/85,,,,,,,,,
加购,60,40,,,,,,,,,
《德化街》场次,"15:30
17:10",15:30,"
15:30
","
15:30
","
15:30
","15:30
17:10","15:30
17:10",,,,
日期,4月13日,4月14日,4月15日,4月16日,4月17日,4月18日,4月19日,,,,
营业时间,10:00-21:00,,,,,,,,,,
门,100/70,,,,,,,,,,
门+剧,120/85,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,15:30,15:30,"
15:30
","
15:30
","
10:30
（研学）
15:30
","15:30
17:10","15:30
17:10",,,,
日期,4月20日,4月21日,4月22日,4月23日,4月24日,4月25日,4月26日,,,,
营业时间,10:00-21:00,,,,,,,,,,
门,100/70,,,,,,,,,,
门+剧,120/85,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,15:30,15:30,15:30,15:30,15:30,"15:30
17:10","15:30
17:10",,,,
日期,4月27日,4月28日,4月29日,4月30日,5月1日,5月2日,5月3日,,,,
营业时间,10:00-21:00,,,,9:00-22:00,,,,,,
门,100/70,,,,120/85/199/230/69.9/99,,,,,,
门+剧,120/85,,,,158/138,,,,,,
加购,40,,,,60,,,,,,
《德化街》场次,15:30,15:30,14:30,15:30,"10:00
11:40
13:30
15:30
17:10
18:50","10:00
13:30
15:30
17:10
18:50","10:00
11:40
13:30
15:30
17:10
18:50",,,,
日期,5月4日,5月5日,5月6日,5月7日,5月8日,5月9日,5月10日,,,,
营业时间,9:00-22:00,10;00-21:30,10:00-22:00,,10:00-21:30,10:00-22:00,,,,,
门,120/85/199/230/69.9/99,,100,,,,,,,,
门+剧,158/138,,120/85,,,,,,,,
加购,60,,40,,,,,,,,
《德化街》场次,"11:40
13:30
15:30
17:10
18:50","13:30
15:30
17:10","13:30
17:10","13:30
17:10","13:30
17:10","13:30
15:30
17:10","13:30
15:30
17:10",,,,
日期,5月11日,5月12日,5月13日,5月14日,5月15日,5月16日,5月17日,,,,
营业时间,10:00-21:30,,,,,10:00-22:00,,,,,
门,100/70(最后一场演出停售后，票房售卖）,,,,,,,,,,
门+剧,120/85,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,17:10,17:10,"11:30
15:30
17:10","15:30
17:10","15:30
17:10","
15:30
","
15:30
",,,,
日期,5月18日,5月19日,5月20日,5月21日,5月22日,5月23日,5月24日,,,,
营业时间,10:00-21:30,,,,,10:00-22:00,,,,,
门,100/70(最后一场演出停售后，票房售卖）,,,,,,,,,,
门+剧,120/85,,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,17:10,17:10,17:10,17:10,17:10,"15:30
17:10","15:30
17:10",,,,
日期,5月25日,5月26日,5月27日,5月28日,5月29日,5月30日,5月31日,,,,
营业时间,10:00-18:30,10:00-21:30,,,,10:00-22:00,,,,,
门,100/70,100/70(最后一场演出停售后，票房售卖）,,,,,,,,,
门+剧,/,120/85,,,,,,,,,
加购,40,,,,,,,,,,
《德化街》场次,17:10,17:10,17:10,17:10,17:10,"15:30
17:10","15:30
17:10",,,,
日期,6月1日,6月2日,6月3日,6月4日,6月5日,6月6日,6月7日,,,,
